v2r_fpr,v2r_tpr,rho_fpr,rho_tpr
0.20579268292682926,0.5538253215978335,0.0948509485094851,0.3653295128939828
0.21341463414634146,0.5646580907244414,0.1002710027100271,0.37392550143266473
0.2225609756097561,0.5714285714285714,0.1002710027100271,0.37965616045845274
0.22865853658536586,0.5775220040622884,0.10298102981029811,0.38968481375358166
0.23170731707317074,0.5876777251184834,0.10298102981029811,0.3954154727793696
0.23170731707317074,0.5930941096817874,0.10569105691056911,0.40830945558739257
0.23932926829268292,0.6032498307379824,0.10840108401084012,0.41260744985673353
0.2423780487804878,0.6093432633716994,0.1111111111111111,0.4154727793696275
0.24542682926829268,0.6147596479350034,0.11382113821138211,0.42120343839541546
0.2530487804878049,0.6222071767095464,0.11924119241192412,0.42550143266475643
0.25914634146341464,0.6323628977657414,0.12195121951219512,0.4269340974212034
0.2652439024390244,0.6404874746106973,0.12466124661246612,0.4326647564469914
0.27439024390243905,0.6472579553148273,0.12466124661246612,0.4369627507163324
0.27896341463414637,0.6533513879485443,0.12737127371273713,0.44126074498567336
0.2865853658536585,0.6594448205822614,0.13279132791327913,0.4484240687679083
0.29878048780487804,0.6675693974272173,0.14092140921409213,0.45272206303724927
0.3079268292682927,0.6756939742721734,0.14363143631436315,0.45988538681948427
0.3201219512195122,0.6858496953283684,0.15176151761517614,0.4699140401146132
0.32621951219512196,0.6885578876100203,0.15176151761517614,0.47564469914040114
0.33689024390243905,0.6987136086662153,0.15447154471544716,0.4828080229226361
0.3445121951219512,0.7041299932295193,0.15989159891598917,0.4871060171919771
0.3521341463414634,0.7081922816519973,0.16531165311653118,0.49283667621776506
0.35823170731707316,0.7156398104265402,0.16531165311653118,0.502865329512894
0.36585365853658536,0.7251184834123223,0.16802168021680217,0.5100286532951289
0.37347560975609756,0.7339201083276913,0.16802168021680217,0.5128939828080229
0.3780487804878049,0.7413676371022343,0.16802168021680217,0.5171919770773639
0.3856707317073171,0.7508463100880163,0.17344173441734417,0.5214899713467048
0.39176829268292684,0.7569397427217333,0.17615176151761516,0.5300859598853869
0.39939024390243905,0.7616790792146242,0.17886178861788618,0.5315186246418339
0.4100609756097561,0.7657413676371022,0.18157181571815717,0.5386819484240688
0.4146341463414634,0.7731888964116452,0.18157181571815717,0.5401146131805158
0.42378048780487804,0.7792823290453622,0.18699186991869918,0.5429799426934098
0.4329268292682927,0.7846987136086662,0.1897018970189702,0.5487106017191977
0.4375,0.7907921462423833,0.2005420054200542,0.5558739255014327
0.4481707317073171,0.7914691943127962,0.2032520325203252,0.5558739255014327
0.4557926829268293,0.7982396750169262,0.20596205962059622,0.5616045845272206
0.4634146341463415,0.8043331076506431,0.20596205962059622,0.5673352435530086
0.4725609756097561,0.8090724441435342,0.21138211382113822,0.5687679083094556
